"id","title","status","media_type","duration","publish_date","tags","custom_parameters","created_at","updated_at"
"Ox6ibe9o","Lisa Harper | Praise","ready","video",3368.00390625,"2021-09-25 00:04:00.000","[""Laurie Crouch"",""Praise"",""Religion"",""Matt Crouch"",""Episode"",""Talk Show"",""seriesId_sMW1pnGB"",""Series"",""Lisa Harper""]","{""hqme"":""true"",""rating"":""TV-G"",""status"":""ready"",""language"":""English"",""networks"":""TBN"",""revShare"":""false"",""share_url"":""https://share.tbn.org/GHTv/ye4j0eeo"",""TBNmediaId"":""HD-P061319"",""programName"":""Praise - Ghost Collection"",""releaseDate"":""September 25, 2021"",""releaseYear"":""2021"",""transactionId"":""254287d3-4bf7-42a9-8388-807e6ba5d520"",""shortDescription"":""Matt and Laurie Crouch host Lisa Harper in Los Angeles, CA."",""watchButtonLabel"":""Start Watching"",""collectionSortField"":""TBN_OriginalAirDate"",""collectionSortOrder"":""1"",""requiresSubscription"":""true"",""backstage_transaction_id"":""2b3a189e-4fa9-459f-bf35-2c786df12470""}","2021-09-25 10:23:34.000","2024-10-23 20:01:43.000"
"3S9KGDtr","American Idol","ready","video",1499.989990234375,"2024-02-16 06:00:00.000","[""American History"",""Centuries Collide"",""Education"",""Government"",""World History"",""inActive"",""Movie"",""Freedom"",""Jewish History""]","{""cast"":"""",""director"":"""",""revShare"":"""",""share_url"":""https://share2.meritplus.com/U6co/jo1fohsl"",""TBNmediaId"":""MS-CCCC0214-DPM"",""contentType"":""Movie"",""programName"":""Centuries Collide"",""seasonNumber"":""2"",""episodeNumber"":""14"",""transactionId"":""4d63209f-df98-4fad-80f7-97938f846fa2"",""jwplayerSeriesId"":""""}","2024-02-28 14:59:05.000","2024-04-03 17:30:34.000"
"o12cJ1tk","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:08:00.000","2024-02-23 09:08:08.000"
"sxwdKVO0","April 4, 2023","ready","video",3206.830078125,"2023-04-04 19:00:00.000","[""Personal Story"",""Testimony"",""Prayer"",""Bible"",""Persecution"",""War"",""Religion"",""Evangelism"",""Law"",""Government"",""Politics"",""News"",""Military"",""Health"",""Disaster Relief"",""Episode"",""seriesId_aggcJ7Kh"",""The 700 Club with Pat Robertson"",""Crime"",""Sports"",""Gordon Robertson"",""Romans 11:29"",""Sam Acho""]","{""hqme"":""true"",""rating"":""TV-G"",""language"":""English"",""networks"":""TBN"",""revShare"":""false"",""TBNmediaId"":""HD-7C230404"",""programName"":""The 700 Club with Pat Robertson"",""publishDate"":""April 04, 2023"",""releaseDate"":""January 01, 1900"",""releaseYear"":""1900"",""seasonNumber"":""23"",""episodeNumber"":""69"",""seasonEpisode"":""S23:E69"",""watchButtonLabel"":""Start Watching"",""collectionSortField"":""TBN_OriginalAirDate"",""collectionSortOrder"":""1"",""requiresSubscription"":""true""}","2023-04-04 18:34:43.000","2023-04-04 19:15:19.000"
"TxfwbhjM","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:07:00.000","2024-02-23 09:07:09.000"
"hUQ4J3Rc","Joel Rosenberg: March 7, 2024 | The Rosenberg Report","ready","video",1679.9150390625,"2024-03-08 02:00:00.000","[""Israel"",""Prayer"",""Leadership"",""Freedom"",""Slavery"",""War"",""Religion"",""Terrorism"",""Nations"",""News"",""Abuse"",""Episode"",""Leaders"",""Violence"",""Bondage"",""Joel Rosenberg"",""seriesId_vW7EBxmS"",""The Rosenberg Report""]","{""hqme"":""true"",""rating"":""TV-G"",""language"":""English"",""networks"":""TBN"",""revShare"":""true"",""TBNmediaId"":""HD-JRRR24-0307"",""contentType"":""episode"",""programName"":""The Rosenberg Report"",""publishDate"":""March 03, 2024"",""releaseDate"":""January 01, 1900"",""releaseYear"":""1900"",""seasonNumber"":"""",""episodeNumber"":"""",""seasonEpisode"":"""",""transactionId"":""c72cf270-a98f-4102-9cd9-856ee292c186"",""preview_playback"":""https://cdn.jwplayer.com/manifests/hUQ4J3Rc.m3u8"",""watchButtonLabel"":""Start Watching"",""collectionSortField"":""TBN_OriginalAirDate"",""collectionSortOrder"":""1"",""requiresSubscription"":""true""}","2024-03-07 18:43:14.000","2024-09-17 20:56:43.000"
"kLocwSEw","Unleash The Beast 2021: Billings | Highlight Show","ready","video",2842.091064453125,"2024-09-09 15:46:00.000","[""Unleash The Beast"",""UTB"",""PBR"",""Sports"",""Bull-Riding"",""Competition"",""Cowboy"",""Extreme-Sports"",""Professional-Bull-Riding"",""Western-Athletes"",""Western-Lifestyle"",""Western-Sports"",""Highlight"",""PBR Unleash the Beast"",""2021"",""2021 Unleash the Beast"",""FIDO""]","{""cast"":"""",""director"":"""",""networks"":""PBR"",""revShare"":"""",""TBNmediaId"":""D18F524A"",""contentType"":"""",""programName"":""2021-TSN"",""seasonNumber"":""2021"",""transactionId"":""9fd57e9a-e861-4f5a-940d-b843c2fcef66"",""original_mediaid"":""PBR Premier Series 2021 Billings, MT Highlight Show"",""preview_playback"":""https://cdn.jwplayer.com/manifests/kLocwSEw.m3u8""}","2024-09-09 10:39:18.819","2024-11-11 19:57:27.000"
"phNGGM1W","President Biden announces student relief plan ","ready","video",211.11500549316406,"2024-05-02 00:33:00.000","[""featured news"",""seriesId_dr2wuGUT""]","{""share_url"":""https://app.meritplus.com/Ejbe/600f0zik"",""contentType"":""featuredNews"",""programName"":"""",""transactionId"":""ea8e522d-fb36-4ff2-a40e-dad5a6247344"",""shortDescription"":""The Biden administration plans to wipe out 6.1 billion dollars in student debt with a new forgiveness plan. ""}","2024-05-02 00:34:42.952","2024-08-09 12:36:15.000"
"VXW3h3Sd","*PBR Teams 2024: Duluth | Day 3","ready","video",0,"2024-06-28 19:00:00.000","[""inActive"",""PBR"",""Teams 2024"",""Duluth""]","{""contentType"":""liveEvent"",""VCH.EventState"":""PRE_LIVE"",""VCH.ScheduledEnd"":""2024-07-28T22:00:00Z"",""VCH.ScheduledStart"":""2024-07-28T19:00:00Z""}","2024-07-28 17:01:04.000","2024-07-28 17:23:20.000"
"khePDltn","The Importance of Renewing The Mind","ready","video",1650.030029296875,"2021-07-07 13:00:00.000","[""Lifestyle"",""Religion"",""Renewing the Mind"",""Change"",""Thinking"",""Word of God"",""Episode"",""seriesId_69dTv6JD"",""Creflo Dollar"",""Transformation"",""Romans 12:1-3"",""1 John 2:1-2""]","{""hqme"":""true"",""rating"":""TV-G"",""networks"":""TBN, Hillsong Channel"",""revShare"":""false"",""share_url"":""https://share.tbn.org/GHTv/ves9ym2y"",""TBNmediaId"":""HD-CDM072107"",""programName"":""Creflo Dollar"",""releaseDate"":""2021-06-29T15:40:00Z"",""seasonNumber"":""21"",""episodeNumber"":""160"",""collectionSortField"":""TBN_OriginalAirDate"",""collectionSortOrder"":""1"",""requiresSubscription"":""true""}","2021-09-20 19:21:38.000","2023-01-04 06:07:16.000"
